,Obs,Customer,I tend to plan things very carefully.,I sometimes have trouble controlling my spending.,I think it is important to purchase products that are made locally.,I carefully consider the health benefits of what I eat.,km.out.cluster
286,367,1,2,2,2.0,2,2
287,368,1,2,4,2.0,1,4
288,369,1,2,3,3.0,3,3
289,370,1,3,2,2.0,2,2
290,371,1,2,3,2.0,2,1
291,372,1,1,4,2.0,2,4
292,373,1,1,4,1.0,1,4
293,374,1,2,2,2.0,2,2
294,375,1,2,3,2.0,2,1
295,376,1,1,4,1.0,1,4
296,377,1,1,2,1.0,1,0
297,378,1,2,2,1.0,1,0
298,379,1,2,3,2.0,2,1
299,381,1,1,4,1.0,1,4
300,382,1,3,2,4.0,3,3
301,383,1,1,3,2.0,1,4
302,384,1,2,3,2.0,2,1
303,385,1,2,3,2.0,2,1
304,386,1,3,2,2.0,1,2
305,387,1,1,4,2.0,1,4
306,388,1,2,3,2.0,2,1
307,389,1,3,2,2.0,2,2
308,390,1,2,2,2.0,1,0
309,391,1,1,4,2.0,1,4
310,392,1,2,4,1.0,2,1
311,393,1,1,4,2.0,1,4
312,394,1,2,4,2.0,1,4
313,395,1,1,2,2.0,2,0
314,396,1,3,2,1.0,2,2
315,397,1,2,3,2.0,3,3
316,398,1,2,3,1.0,1,1
317,399,1,2,3,1.0,2,1
318,400,1,1,3,1.0,2,4
319,401,1,1,3,2.0,2,4
320,402,1,2,2,2.0,1,0
321,403,1,1,3,1.0,1,4
322,404,1,2,3,1.0,2,1
323,406,1,1,4,1.0,1,4
324,407,1,4,4,2.0,2,1
325,408,1,2,2,2.0,2,2
326,410,1,3,3,2.0,2,1
327,411,1,1,2,2.0,2,0
328,412,1,2,2,1.0,2,2
329,413,1,3,4,1.0,2,1
330,414,1,1,4,2.0,1,4
331,415,1,3,2,2.0,1,2
332,416,1,2,2,1.0,2,2
333,417,1,2,2,2.0,3,3
334,418,1,1,2,1.0,1,0
335,419,1,2,4,2.0,1,4
336,420,1,2,2,2.0,2,2
337,421,1,2,3,3.0,3,3
338,422,1,1,3,1.0,1,4
339,423,1,1,4,2.0,2,4
340,424,1,2,2,1.0,2,2
341,425,1,2,2,1.0,1,0
342,426,1,3,2,2.0,2,2
343,427,1,2,2,2.0,2,2
344,428,1,2,2,1.0,1,0
345,429,1,3,4,2.0,2,1
346,430,1,2,2,3.0,2,3
347,431,1,2,4,2.0,2,1
348,432,1,1,2,1.0,1,0
349,433,1,2,4,2.0,2,1
350,434,1,3,2,2.0,3,2
351,435,1,2,1,2.0,1,0
352,436,1,1,4,2.0,2,4
353,437,1,3,2,1.0,1,2
354,438,1,1,2,1.0,2,0
355,439,1,2,2,2.0,2,2
356,440,1,3,2,1.0,2,2
357,441,1,3,4,3.0,3,3
358,442,1,3,4,1.0,1,1
359,443,1,3,4,1.0,1,1
360,444,1,3,4,1.0,1,1
361,446,1,1,2,2.0,2,0
362,447,1,2,3,2.0,2,1
363,448,1,3,2,1.0,1,2
364,449,1,1,2,2.0,2,0
365,450,1,2,4,2.0,2,1
366,452,1,2,4,2.0,1,4
367,453,1,2,4,1.0,1,4
368,454,1,2,4,2.0,2,1
369,455,1,1,3,2.0,2,4
370,456,1,1,4,2.0,1,4
371,457,1,3,4,2.0,2,1
372,458,1,3,2,1.0,2,2
373,459,1,1,3,2.0,2,4
374,460,1,1,2,1.0,1,0
375,461,1,1,1,1.0,1,0
376,462,1,2,3,1.0,1,1
377,463,1,3,3,1.0,1,1
378,466,1,1,4,2.0,1,4
379,467,1,2,2,2.0,3,3
380,468,1,1,1,1.0,1,0
381,469,1,2,1,2.0,3,2
382,470,1,2,4,2.0,2,1
383,471,1,2,2,2.0,2,2
384,472,1,2,4,2.0,2,1
385,473,1,2,2,2.0,2,2
386,474,1,1,2,2.0,1,0
387,475,1,2,2,2.0,2,2
388,476,1,2,4,2.0,1,4
389,477,1,3,4,2.0,1,1
390,478,1,3,3,2.0,2,1
391,479,1,2,2,2.0,2,2
392,480,1,1,4,1.0,2,4
393,481,1,1,4,1.0,1,4
394,482,1,1,3,2.0,2,4
